title,journal,pubmed_id,gseID
Single-Cell Reconstruction Of The Early Maternal-Fetal Interface In Humans,Nature,30429548,notAvailable
Microfluidic Active Loading Of Single Cells Enables Analysis Of Complex Clinical Specimens,Nature communications,30429479,notAvailable
A Web Server For Comparative Analysis Of Single-Cell Rna-Seq Data,Nature communications,30425249,notAvailable
Disease-Specific Oligodendrocyte Lineage Cells Arise In Multiple Sclerosis,Nature medicine,30420755,GSE113973
Flexible Fate Determination Ensures Robust Differentiation In The Hair Follicle,Nature cell biology,30420661,notAvailable
Identity Noise And Adipogenic Traits Characterize Dermal Fibroblast Aging,Cell,30415840,GSE117763_GSE117762_GSE111136_GSE110983_GSE110982_GSE110981_GSE110980_GSE110979_GSE110978
Discovery Of Rare Cells From Voluminous Single Cell Expression Data,Nature communications,30413715,notAvailable
Interleukin-17-Producing Γδ T Cells Originate From Sox1,Immunity,30413363,GSE118924_GSE118770
"A Deadly Dance: The Choreography Of Host-Pathogen Interactions, As Revealed By Single-Cell Technologies",Nature communications,30401874,notAvailable
Publisher Correction: Principles Of Nucleosome Organization Revealed By Single-Cell Micrococcal Nuclease Sequencing,Nature,30401810,notAvailable
T Helper Cell Cytokines Modulate Intestinal Stem Cell Renewal And Differentiation,Cell,30392957,GSE106510
Topography Of A Visuomotor Transformation,Neuron,30392799,notAvailable
H-Channels Contribute To Divergent Intrinsic Membrane Properties Of Supragranular Pyramidal Neurons In Human Versus Mouse Cerebral Cortex,Neuron,30392798,notAvailable
Joint Single-Cell Dna Accessibility And Protein Epitope Profiling Reveals Environmental Regulation Of Epigenomic Heterogeneity,Nature communications,30389926,GSE112246_GSE112245_GSE112200_GSE112198_GSE112195_GSE112194_GSE112091_GSE112090_GSE112089
A Cancer Cell Program Promotes T Cell Exclusion And Resistance To Checkpoint Blockade,Cell,30388455,GSE115978
Tissue Unit-Ed: Lung Cells Team Up To Drive Alveolar Macrophage Development,Cell,30388447,notAvailable
Disease-Relevant Transcriptional Signatures Identified In Individual Smooth Muscle Cells From Healthy Mouse Vessels,Nature communications,30385745,GSE117963
"Molecular, Spatial, And Functional Single-Cell Profiling Of The Hypothalamic Preoptic Region","Science (New York, N.Y.)",30385464,GSE113576
Single-Cell Sequencing Paints Diverse Pictures Of The Brain,Nature,30382219,notAvailable
Distinct Descending Motor Cortex Pathways And Their Roles In Movement,Nature,30382200,GSE119182
Spatial Organization Of The Somatosensory Cortex Revealed By Osmfish,Nature methods,30377364,notAvailable
A Winning Single-Cell Combination,Nature methods,30377357,notAvailable
The Subiculum Is A Patchwork Of Discrete Subregions,eLife,30375971,GSE113069
"Following Hearts, One Cell At A Time: Recent Applications Of Single-Cell Rna Sequencing To The Understanding Of Heart Disease",Nature communications,30375391,notAvailable
Somatic Mosaicism And Neurodevelopmental Disease,Nature neuroscience,30349109,notAvailable
Antigen Discovery And Specification Of Immunodominance Hierarchies For Mhcii-Restricted Epitopes,Nature medicine,30349087,notAvailable
Polymer Simulations Of Heteromorphic Chromatin Predict The 3D Folding Of Complex Genomic Loci,Molecular cell,30344096,GSE120666_GSE120665_GSE119660_GSE119659_GSE119658_GSE119656
Protein Barcodes Enable High-Dimensional Single-Cell Crispr Screens,Cell,30343902,notAvailable
Elucidating The Control And Development Of Skin Patterning In Cuttlefish,Nature,30333578,notAvailable
Author Correction: Synthetic Crispr-Cas Gene Activators For Transcriptional Reprogramming In Bacteria,Nature communications,30323295,notAvailable
In Toto Imaging And Reconstruction Of Post-Implantation Mouse Development At The Single-Cell Level,Cell,30318151,notAvailable
Lung Single-Cell Signaling Interaction Map Reveals Basophil Role In Macrophage Imprinting,Cell,30318149,GSE119228
The Majority Of Cd4,Immunity,30314756,notAvailable
Neuronal Specification In Space And Time,"Science (New York, N.Y.)",30309944,notAvailable
Myelo-Lymphoid Lineage Restriction Occurs In The Human Haematopoietic Stem Cell Compartment Before Lymphoid-Primed Multipotent Progenitors,Nature communications,30291229,GSE115798_GSE115639_GSE104995
Single-Cell Transcriptomic Analysis Of Cardiac Differentiation From Human Pscs Reveals Hopx-Dependent Cardiomyocyte Maturation,Cell stem cell,30290179,GSE097080
Rna Velocity: Molecular Kinetics From Single-Cell Rna-Seq,Molecular cell,30290149,notAvailable
Renal Compartment-Specific Genetic Variation Analyses Identify New Pathways In Chronic Kidney Disease,Nature medicine,30275566,GSE115098
Effects Of 3D Culturing Conditions On The Transcriptomic Profile Of Stem-Cell-Derived Neurons,Nature biomedical engineering,30271673,GSE111831
Structural Remodeling Of The Human Colonic Mesenchyme In Inflammatory Bowel Disease,Cell,30270042,GSE095459_GSE095450_GSE095446_GSE095435
Clonal Dynamics In Osteosarcoma Defined By Rgb Marking,Nature communications,30266933,notAvailable
Identification Of Functionally Distinct Fibro-Inflammatory And Adipogenic Stromal Subpopulations In Visceral Adipose Tissue Of Adult Mice,eLife,30265241,GSE111588
Dynamic Dna Methylation: In The Right Place At The Right Time,"Science (New York, N.Y.)",30262495,notAvailable
Principles Of Nucleosome Organization Revealed By Single-Cell Micrococcal Nuclease Sequencing,Nature,30258225,GSE096688
Single Cell Molecular Alterations Reveal Target Cells And Pathways Of Concussive Brain Injury,Nature communications,30254269,GSE101901
Identification Of The Human Skeletal Stem Cell,Cell,30241615,notAvailable
Robust Single-Cell Dna Methylome Profiling With Snmc-Seq2,Nature communications,30237449,GSE112471
Kappa Opioid Receptor Distribution And Function In Primary Afferents,Neuron,30236284,notAvailable
Molecular Diversification Of Regulatory T Cells In Nonlymphoid Tissues,Science immunology,30217811,GSE112731_GSE109742
Neuronal Heterogeneity And Stereotyped Connectivity In The Auditory Afferent System,Nature communications,30209249,GSE117055
Graphddp: A Graph-Embedding Approach To Detect Differentiation Pathways In Single-Cell-Data Using Prior Class Knowledge,Nature communications,30206223,notAvailable
Dynamics Of Cellular States Of Fibro-Adipogenic Progenitors During Myogenesis And Muscular Dystrophy,Nature communications,30202063,GSE100474
Terminal Exon Characterization With Tectool Reveals An Abundance Of Cell-Specific Isoforms,Nature methods,30202060,notAvailable
Polarized Microtubule Dynamics Directs Cell Mechanics And Coordinates Forces During Epithelial Morphogenesis,Nature cell biology,30202051,notAvailable
Tissue Signals Imprint Ilc2 Identity With Anticipatory Function,Nature immunology,30201992,GSE117568_GSE117567_GSE117470
Different Patterns Of Clonal Evolution Among Different Sarcoma Subtypes Followed For Up To 25 Years,Nature communications,30201954,notAvailable
Aligning Single-Cell Developmental And Reprogramming Trajectories Identifies Molecular Determinants Of Myogenic Reprogramming Outcome,Cell systems,30195438,notAvailable
High-Throughput Chromatin Accessibility Profiling At Single-Cell Resolution,Nature communications,30194434,notAvailable
Recording The Wild Lives Of Immune Cells,Science immunology,30194240,notAvailable
Population Dynamics Of Normal Human Blood Inferred From Somatic Mutations,Nature,30185910,notAvailable
Unravelling Subclonal Heterogeneity And Aggressive Disease States In Tnbc Through Single-Cell Rna-Seq,Nature communications,30181541,GSE118390_GSE118389_GSE118303
Integration Of Multiple Metabolic Signals Determines Cell Fate Prior To Commitment,Molecular cell,30174289,notAvailable
Correcting The Mean-Variance Dependency For Differential Variability Testing Using Single-Cell Rna Sequencing Data,Cell systems,30172840,notAvailable
Joint Profiling Of Chromatin Accessibility And Gene Expression In Thousands Of Single Cells,"Science (New York, N.Y.)",30166440,GSE117089
Interdependence Between Egfr And Phosphatases Spatially Established By Vesicular Dynamics Generates A Growth Factor Sensing And Responding Network,Cell systems,30145116,notAvailable
Publisher Correction: Single-Cell Profiling Of Breast Cancer T Cells Reveals A Tissue-Resident Memory Subset Associated With Improved Prognosis,Nature medicine,30135555,notAvailable
Endocrine Lineage Biases Arise In Temporally Distinct Endocrine Progenitors During Pancreatic Morphogenesis,Nature communications,30135482,notAvailable
Technique To Measure The Expression Dynamics Of Each Gene In A Single Cell,Nature,30127477,notAvailable
Single-Cell Analysis Reveals That Stochasticity And Paracrine Signaling Control Interferon-Alpha Production By Plasmacytoid Dendritic Cells,Nature communications,30127440,GSE114161
Size Control In Mammalian Cells Involves Modulation Of Both Growth Rate And Cell Cycle Duration,Nature communications,30115907,notAvailable
Mapping Projections Of Molecularly Defined Dopamine Neuron Subtypes Using Intersectional Genetic Approaches,Nature neuroscience,30104732,notAvailable
A Highly Sensitive A-Kinase Activity Reporter For Imaging Neuromodulatory Events In Awake Mice,Neuron,30100256,notAvailable
Behavioral Strategy Determines Frontal Or Posterior Location Of Short-Term Memory In Neocortex,Neuron,30100254,notAvailable
Tbx6 Induces Nascent Mesoderm From Pluripotent Stem Cells And Temporally Controls Cardiac Versus Somite Lineage Diversification,Cell stem cell,30100166,notAvailable
Molecular Architecture Of The Mouse Nervous System,Cell,30096314,notAvailable
Molecular Diversity And Specializations Among The Cells Of The Adult Mouse Brain,Cell,30096299,GSE116470
Single-Cell Transcriptomes From Human Kidneys Reveal The Cellular Identity Of Renal Tumors,"Science (New York, N.Y.)",30093597,notAvailable
Rna Velocity Of Single Cells,Nature,30089906,GSE115813_GSE109989_GSE102827_GSE099933_GSE092332
Genetic And Transcriptional Evolution Alters Cancer Cell Line Drug Response,Nature,30089904,GSE114462_GSE114461_GSE114460_GSE114459
Author Correction: Single Cell Transcriptome Profiling Of Retinal Ganglion Cells Identifies Cellular Subtypes,Nature communications,30087343,notAvailable
Cicero Predicts Cis-Regulatory Dna Interactions From Single-Cell Chromatin Accessibility Data,Molecular cell,30078726,GSE109828
Deep Profiling Of Mouse Splenic Architecture With Codex Multiplexed Imaging,Cell,30078711,notAvailable
Hair Cell Mechanotransduction Regulates Spontaneous Activity And Spiral Ganglion Subtype Specification In The Auditory System,Cell,30078710,GSE114759
A Single-Cell Atlas Of In Vivo Mammalian Chromatin Accessibility,Cell,30078704,GSE111586
"The Cell Cycle Browser: An Interactive Tool For Visualizing, Simulating, And Perturbing Cell-Cycle Progression",Cell systems,30077635,notAvailable
Non Plasmonic Semiconductor Quantum Sers Probe As A Pathway For In Vitro Cancer Detection,Nature communications,30076296,notAvailable
Endothelial Regeneration Of Large Vessels Is A Biphasic Process Driven By Local Cells With Distinct Proliferative Capacities,Cell stem cell,30075129,GSE116718_GSE115618
Shared Evolutionary Origin Of Vertebrate Neural Crest And Cranial Placodes,Nature,30069052,GSE115331
A Single-Cell Atlas Of The Airway Epithelium Reveals The Cftr-Rich Pulmonary Ionocyte,Nature,30069046,GSE102580
A Revised Airway Epithelial Hierarchy Includes Cftr-Expressing Ionocytes,Nature,30069044,GSE103354
Exploring The Role Of Stromal Osmoregulation In Cancer And Disease Using Executable Modelling,Nature communications,30069015,notAvailable
Tumor Genetic Analysis From Single-Cell Rna-Seq Data,Nature methods,30065381,notAvailable
Bracer: B-Cell-Receptor Reconstruction And Clonality Inference From Single-Cell Rna-Seq,Nature methods,30065371,notAvailable
Statistical Mechanics For Metabolic Networks During Steady State Growth,Nature communications,30061556,notAvailable
Publisher Correction: Tracing The Temporal-Spatial Transcriptome Landscapes Of The Human Fetal Digestive Tract Using Single-Cell Rna-Sequencing,Nature cell biology,30038257,notAvailable
Enteroendocrine Cells Switch Hormone Expression Along The Crypt-To-Villus Bmp Signalling Gradient,Nature cell biology,30038251,GSE114988
Bacteriophage Cooperation Suppresses Crispr-Cas3 And Cas9 Immunity,Cell,30033364,notAvailable
Genome-Scale Oscillations In Dna Methylation During Exit From Pluripotency,Cell systems,30031774,GSE116165_GSE116163_GSE075974_GSE075973
Single-Cell Mapping Of The Thymic Stroma Identifies Il-25-Producing Tuft Epithelial Cells,Nature,30022162,GSE103970_GSE103969_GSE103968_GSE103967
Mreb Polymers And Curvature Localization Are Enhanced By Rodz And Predict E. Coli'S Cylindrical Uniformity,Nature communications,30022070,notAvailable
Noncoding Rna-Nucleated Heterochromatin Spreading Is Intrinsically Labile And Requires Accessory Elements For Epigenetic Stability,eLife,30020075,notAvailable
Single Cell Transcriptome Profiling Of Retinal Ganglion Cells Identifies Cellular Subtypes,Nature communications,30018341,GSE115404
Tcm Visualizes Trajectories And Cell Populations From Single Cell Data,Nature communications,30013097,notAvailable
Highly Multiplexed Immunofluorescence Imaging Of Human Tissues And Tumors Using T-Cycif And Conventional Optical Microscopes,eLife,29993362,notAvailable
Analysis Of Parp Inhibitor Toxicity By Multidimensional Fluorescence Microscopy Reveals Mechanisms Of Sensitivity And Resistance,Nature communications,29992957,notAvailable
Detection And Removal Of Barcode Swapping In Single-Cell Rna-Seq Data,Nature communications,29991676,notAvailable
Heterogeneity In Tumor Chromatin-Doxorubicin Binding Revealed By In Vivo Fluorescence Lifetime Imaging Confocal Endomicroscopy,Nature communications,29985394,notAvailable
Metabolic Signaling Directs The Reciprocal Lineage Decisions Of Αβ And Γδ T Cells,Science immunology,29980617,GSE112982_GSE086495
Single-Cell Analysis Of Early Progenitor Cells That Build Coronary Arteries,Nature,29973725,notAvailable
Human In Vivo-Generated Monocyte-Derived Dendritic Cells And Macrophages Cross-Present Antigens Through A Vacuolar Pathway,Nature communications,29967419,GSE115007_GSE115006
Author Correction: High-Dimensional Single-Cell Analysis Predicts Response To Anti-Pd-1 Immunotherapy,Nature medicine,29967347,notAvailable
Cell-Type-Specific Brain Methylomes Profiled Via Ultralow-Input Microfluidics,Nature biomedical engineering,29963329,GSE093456_GSE088716
Single-Cell Map Of Diverse Immune Phenotypes In The Breast Tumor Microenvironment,Cell,29961579,GSE114727_GSE114725_GSE114724
Single-Cell Transcriptomics Reveal The Dynamic Of Haematopoietic Stem Cell Production In The Aorta,Nature communications,29955049,GSE112642
Phenotypic Image Analysis Software Tools For Exploring And Understanding Big Image Data From Cell-Based Assays,Cell systems,29953863,notAvailable
Global Characterization Of T Cells In Non-Small-Cell Lung Cancer By Single-Cell Sequencing,Nature medicine,29942094,GSE099254
Single-Cell Profiling Of Breast Cancer T Cells Reveals A Tissue-Resident Memory Subset Associated With Improved Prognosis,Nature medicine,29942092,GSE110938_GSE110686
Saver: Gene Expression Recovery For Single-Cell Rna Sequencing,Nature methods,29941873,notAvailable
Single-Cell Rna-Seq Reveals Dynamic Early Embryonic-Like Programs During Chemical Reprogramming,Cell stem cell,29937202,notAvailable
Generalizable And Scalable Visualization Of Single-Cell Data Using Neural Networks,Cell systems,29936184,notAvailable
Uncovering Pseudotemporal Trajectories With Covariates From Single Cell And Bulk Expression Data,Nature communications,29934517,notAvailable
Distinct Progenitor Lineages Contribute To The Heterogeneity Of Plasmacytoid Dendritic Cells,Nature immunology,29925996,GSE114315_GSE114314_GSE114313_GSE114312
Clonal Analysis Of Salmonella-Specific Effector T Cells Reveals Serovar-Specific And Cross-Reactive T Cell Responses,Nature immunology,29925993,GSE113112
A Stromal Cell Population That Inhibits Adipogenesis In Mammalian Fat Depots,Nature,29925944,notAvailable
Unsupervised Clustering And Epigenetic Classification Of Single Cells,Nature communications,29925875,GSE107651
A Single-Cell Chromatin Map Of Human Embryos,Nature cell biology,29915360,notAvailable
Single-Cell Characterization Of Haematopoietic Progenitors And Their Trajectories In Homeostasis And Perturbed Haematopoiesis,Nature cell biology,29915358,GSE113495_GSE113494_GSE092575
Single-Cell Multi-Omics Sequencing Of Human Early Embryos,Nature cell biology,29915357,GSE100272
Phenotypic Convergence: Distinct Transcription Factors Regulate Common Terminal Features,Cell,29909983,GSE103772_GSE103771
A Single-Cell Transcriptome Atlas Of The Aging Drosophila Brain,Cell,29909982,GSE107451
Improving Mechanical Sensor Performance Through Larger Damping,"Science (New York, N.Y.)",29903939,notAvailable
A Photoelectrochemical Platform For The Capture And Release Of Rare Single Cells,Nature communications,29895867,notAvailable
Dynamics And Spatial Genomics Of The Nascent Transcriptome By Intron Seqfish,Cell,29887381,notAvailable
Dissection Of Influenza Infection In Vivo By Single-Cell Rna Sequencing,Cell systems,29886109,GSE107947
A Single-Cell Transcriptomic Atlas Of Thymus Organogenesis Resolves Cell Types And Developmental Maturation,Immunity,29884461,GSE107910
A Revised Road Map For The Commitment Of Human Cord Blood Cd34-Negative Hematopoietic Stem Cells,Nature communications,29875383,GSE100354
Spatio-Temporal Regulation Of Concurrent Developmental Processes By Generic Signaling Downstream Of Chemokine Receptors,eLife,29873633,notAvailable
Temporal Profiling Of Redox-Dependent Heterogeneity In Single Cells,eLife,29869985,GSE112997
Genetic Identification Of Brain Cell Types Underlying Schizophrenia,Nature genetics,29785013,notAvailable
Interpretable Dimensionality Reduction Of Single Cell Transcriptome Data With Deep Generative Models,Nature communications,29784946,notAvailable
Early Lineage Segregation Of Multipotent Embryonic Mammary Gland Progenitors,Nature cell biology,29784918,GSE110351_GSE109711_GSE109707_GSE109306_GSE099433
Intermittent Pili-Mediated Forces Fluidize Neisseria Meningitidis Aggregates Promoting Vascular Colonization,Cell,29779947,notAvailable
Moderate Uv Exposure Enhances Learning And Memory By Promoting A Novel Glutamate Biosynthetic Pathway In The Brain,Cell,29779945,notAvailable
High-Throughput Screening Enhances Kidney Organoid Differentiation From Human Pluripotent Stem Cells And Enables Automated Multidimensional Phenotyping,Cell stem cell,29779890,GSE109718
Disease-Associated Microglia: A Universal Immune Sensor Of Neurodegeneration,Cell,29775591,notAvailable
"An Optogenetic Platform For Real-Time, Single-Cell Interrogation Of Stochastic Transcriptional Regulation",Molecular cell,29775585,notAvailable
Single Cell Analysis Of Kynurenine And System L Amino Acid Transport In T Cells,Nature communications,29773791,notAvailable
Epigenomic-Guided Mass Cytometry Profiling Reveals Disease-Specific Features Of Exhausted Cd8 T Cells,Immunity,29768164,notAvailable
Frequent Pauses In Escherichia Coli Flagella Elongation Revealed By Single Cell Real-Time Fluorescence Imaging,Nature communications,29760469,notAvailable
Two-Photon Imaging Of Neuronal Activity In Motor Cortex Of Marmosets During Upper-Limb Movement Tasks,Nature communications,29760466,notAvailable
A Post-Transcriptional Feedback Mechanism For Noise Suppression And Fate Stabilization,Cell,29754821,notAvailable
Single-Cell Transcriptomics Meets Lineage Tracing,Cell stem cell,29754780,notAvailable
Network Visualization And Analysis Of Spatially Aware Gene Expression Data With Insitunet,Cell systems,29753646,notAvailable
Publisher Correction: Single-Cell Analysis Of Experience-Dependent Transcriptomic States In The Mouse Visual Cortex,Nature neuroscience,29752482,notAvailable
"A Hierarchical, Data-Driven Approach To Modeling Single-Cell Populations Predicts Latent Causes Of Cell-To-Cell Variability",Cell systems,29730254,notAvailable
Efficient Generation Of Ca3 Neurons From Human Pluripotent Stem Cells Enables Modeling Of Hippocampal Connectivity In Vitro,Cell stem cell,29727680,GSE111979_GSE111978_GSE111977
Blood Development: Hematopoietic Stem Cell Dependence And Independence,Cell stem cell,29727679,notAvailable
Causes And Consequences Of Hematopoietic Stem Cell Heterogeneity,Cell stem cell,29727678,notAvailable
Single-Cell Transcriptomics And Fate Mapping Of Ependymal Cells Reveals An Absence Of Neural Stem Cell Function,Cell,29727663,GSE100320
Publisher Correction: Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr,Nature immunology,29725080,notAvailable
"Evolution Of Pallium, Hippocampus, And Cortical Cell Types Revealed By Single-Cell Transcriptomics In Reptiles","Science (New York, N.Y.)",29724907,notAvailable
Oxygen Minimum Zone Cryptic Sulfur Cycling Sustained By Offshore Transport Of Key Sulfur Oxidizing Bacteria,Nature communications,29712903,notAvailable
Single-Cell Chromatin Modification Profiling Reveals Increased Epigenetic Variations With Aging,Cell,29706550,notAvailable
Sorting Apples From Oranges In Single-Cell Expression Comparisons,Nature methods,29702635,notAvailable
Single-Cell Mapping Of Gene Expression Landscapes And Lineage In The Zebrafish Embryo,"Science (New York, N.Y.)",29700229,GSE112294
The Dynamics Of Gene Expression In Vertebrate Embryogenesis At Single-Cell Resolution,"Science (New York, N.Y.)",29700227,GSE113074
Single-Cell Reconstruction Of Developmental Trajectories During Zebrafish Embryogenesis,"Science (New York, N.Y.)",29700225,GSE112824_GSE106587_GSE106474_GSE106466
Coordination Of Robust Single Cell Rhythms In The,eLife,29697372,notAvailable
Rev7 And 53Bp1/Crb2 Prevent Recq Helicase-Dependent Hyper-Resection Of Dna Double-Strand Breaks,eLife,29697047,notAvailable
Transcript-Indexed Atac-Seq For Precision Immune Profiling,Nature medicine,29686426,notAvailable
A Glial Signature And Wnt7 Signaling Regulate Glioma-Vascular Interactions And Tumor Microenvironment,Cancer cell,29681511,GSE110052
Chemoresistance Evolution In Triple-Negative Breast Cancer Delineated By Single-Cell Sequencing,Cell,29681456,notAvailable
Dissociable Structural And Functional Hippocampal Outputs Via Distinct Subiculum Cell Classes,Cell,29681453,GSE100449
Developmental And Oncogenic Programs In H3K27M Gliomas Dissected By Single-Cell Rna-Seq,"Science (New York, N.Y.)",29674595,GSE102130
Cell Type Atlas And Lineage Tree Of A Whole Complex Animal By Single-Cell Transcriptomics,"Science (New York, N.Y.)",29674432,GSE103633
Cell Type Transcriptome Atlas For The Planarian,"Science (New York, N.Y.)",29674431,GSE111764
Cellular Diversity In The,eLife,29671739,notAvailable
A Geometric Approach To Characterize The Functional Identity Of Single Cells,Nature communications,29666373,notAvailable
Mrna Structure Determines Specificity Of A Polyq-Driven Phase Separation,"Science (New York, N.Y.)",29650703,notAvailable
Germinal Center Antibody Mutation Trajectories Are Determined By Rapid Self/Foreign Discrimination,"Science (New York, N.Y.)",29650674,notAvailable
Dual Inhibition Of Mdmx And Mdm2 As A Therapeutic Strategy In Leukemia,Science translational medicine,29643228,GSE099255
T Cell Dysfunction In Cancer,Cancer cell,29634943,notAvailable
Fateid Infers Cell Fate Bias In Multipotent Progenitors From Single-Cell Rna-Seq Data,Nature methods,29630061,GSE100037
Large-Scale Clonal Analysis Resolves Aging Of The Mouse Hematopoietic Stem Cell Compartment,Cell stem cell,29625072,notAvailable
Machine Learning Identifies Stemness Features Associated With Oncogenic Dedifferentiation,Cell,29625051,notAvailable
Scmap: Projection Of Single-Cell Rna-Seq Data Across Data Sets,Nature methods,29608555,notAvailable
Multi-View Light-Sheet Imaging And Tracking With The Mamut Software Reveals The Cell Lineage Of A Direct Developing Arthropod Limb,eLife,29595475,notAvailable
Two Succeeding Fibroblastic Lineages Drive Dermal Development And The Transition From Regeneration To Scarring,Nature cell biology,29593327,notAvailable
The Logic Of Single-Cell Projections From Visual Cortex,Nature,29590093,notAvailable
Mutation Dynamics And Fitness Effects Followed In Single Cells,"Science (New York, N.Y.)",29590079,notAvailable
Bearscc Determines Robustness Of Single-Cell Clusters Using Simulated Technical Replicates,Nature communications,29567991,GSE095155
"High-Dimensional Single-Cell Mapping Of Central Nervous System Immune Cells Reveals Distinct Myeloid Subsets In Health, Aging, And Disease",Immunity,29562204,notAvailable
Single-Cell Transcriptomics Reveals A New Dynamical Function Of Transcription Factors During Embryonic Hematopoiesis,eLife,29555020,GSE096986_GSE096982_GSE096958_GSE096836_GSE096835
Identification Of Spatial Expression Trends In Single-Cell Gene Expression Data,Nature methods,29553578,notAvailable
Dissecting The Functional Consequences Of De Novo Dna Methylation Dynamics In Human Motor Neuron Differentiation And Physiology,Cell stem cell,29551301,GSE090553
Asymmetric Adhesion Of Rod-Shaped Bacteria Controls Microcolony Morphogenesis,Nature communications,29549338,notAvailable
Publisher Correction: Temporally Precise Single-Cell-Resolution Optogenetics,Nature neuroscience,29549318,notAvailable
Control Of Endothelial Cell Polarity And Sprouting Angiogenesis By Non-Centrosomal Microtubules,eLife,29547120,notAvailable
The Cis-Regulatory Dynamics Of Embryonic Development At Single-Cell Resolution,Nature,29539636,GSE101581
Functionally Distinct And Selectively Phosphorylated Gpcr Subpopulations Co-Exist In A Single Cell,Nature communications,29535304,notAvailable
"Erratum For Research Article: ""Single-Cell Rna-Seq And Computational Analysis Using Temporal Mixture Modeling Resolves",Science immunology,29523583,notAvailable
Developmental Diversification Of Cortical Inhibitory Interneurons,Nature,29513653,GSE104158_GSE104157_GSE104156_GSE103983
A Three-Dimensional Single-Cell-Resolution Whole-Brain Atlas Using Cubic-X Expansion Microscopy And Tissue Clearing,Nature neuroscience,29507408,notAvailable
Publisher Correction: High-Resolution Myogenic Lineage Mapping By Single-Cell Mass Cytometry,Nature cell biology,29507406,notAvailable
Single-Cell Developmental Classification Of B Cell Precursor Acute Lymphoblastic Leukemia At Diagnosis Reveals Predictors Of Relapse,Nature medicine,29505032,notAvailable
Reconstruction Of Complex Single-Cell Trajectories Using Cellrouter,Nature communications,29497036,notAvailable
Single Cell Polarity In Liquid Phase Facilitates Tumour Metastasis,Nature communications,29491397,notAvailable
Nanodroplet Processing Platform For Deep And Quantitative Proteome Profiling Of 10-100 Mammalian Cells,Nature communications,29491378,notAvailable
Characterizing The Replicability Of Cell Types Defined By Single Cell Rna-Sequencing Data Using Metaneighbor,Nature communications,29491377,notAvailable
Functionally Distinct Disease-Associated Fibroblast Subsets In Rheumatoid Arthritis,Nature communications,29476097,GSE109450_GSE109449_GSE109448_GSE107105
Single-Cell Rna-Seq Of Rheumatoid Arthritis Synovial Tissue Using Low-Cost Microfluidic Instrumentation,Nature communications,29476078,notAvailable
Mapping The Mouse Cell Atlas By Microwell-Seq,Cell,29474909,GSE108097
Scnmt-Seq Enables Joint Profiling Of Chromatin Accessibility Dna Methylation And Transcription In Single Cells,Nature communications,29472610,GSE109262
Early Emergence Of Cortical Interneuron Diversity In The Mouse Embryo,"Science (New York, N.Y.)",29472441,GSE109796
Analysis Of Cardiomyocyte Clonal Expansion During Mouse Heart Development And Injury,Nature communications,29467410,GSE108427
Lineage-Determining Transcription Factor Tcf-1 Initiates The Epigenetic Identity Of T Cells,Immunity,29466756,GSE099159
Microglia: You'Ll Never Walk Alone,Immunity,29466750,notAvailable
Population Snapshots Predict Early Haematopoietic And Erythroid Hierarchies,Nature,29466336,GSE089754
On The Design Of Crispr-Based Single-Cell Molecular Screens,Nature methods,29457792,GSE108699
Rare Cell Detection By Single-Cell Rna Sequencing As Guided By Single-Molecule Rna Fish,Cell systems,29454938,GSE099330
Clonal Selection Drives Protective Memory B Cell Responses In Controlled Human Malaria Infection,Science immunology,29453292,notAvailable
Single-Cell Transcriptional Dynamics Of Flavivirus Infection,eLife,29451494,GSE110496
Extreme Heterogeneity Of Influenza Virus Infection In Single Cells,eLife,29451492,GSE108041
A Molecular Atlas Of Cell Types And Zonation In The Brain Vasculature,Nature,29443965,GSE099235_GSE099058_GSE098816
Detecting Rna Base Methylations In Single Cells By In Situ Hybridization,Nature communications,29440632,notAvailable
Single-Nucleus Analysis Of Accessible Chromatin In Developing Mouse Forebrain Reveals Cell-Type-Specific Transcriptional Regulation,Nature neuroscience,29434377,GSE100033
Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr,Nature immunology,29434354,GSE115125_GSE111901_GSE111070_GSE110692_GSE110688_GSE110679_GSE110568_GSE110558_GSE110547_GSE109742_GSE109726
Single-Cell Full-Length Total Rna Sequencing Uncovers Dynamics Of Recursive Splicing And Enhancer Rnas,Nature communications,29434199,GSE098664
A Macrophage Colony-Stimulating-Factor-Producing Γδ T Cell Subset Prevents Malarial Parasitemic Recurrence,Immunity,29426701,notAvailable
Tracing Single-Cell Histories,"Science (New York, N.Y.)",29420280,notAvailable
Single-Cell Wnt Signaling Niches Maintain Stemness Of Alveolar Type 2 Cells,"Science (New York, N.Y.)",29420258,GSE109444
Breaking New Ground In The Landscape Of Single-Cell Analysis,Cell systems,29401450,notAvailable
Dynamic Ligand Discrimination In The Notch Signaling Pathway,Cell,29398116,GSE072847
Single-Cell Replication Profiling To Measure Stochastic Variation In Mammalian Replication Timing,Nature communications,29382831,GSE102077_GSE102076_GSE102075_GSE102074
Elastomeric Sensor Surfaces For High-Throughput Single-Cell Force Cytometry,Nature biomedical engineering,31015629,notAvailable
The Genome Of The Hi5 Germ Cell Line From,eLife,29376823,notAvailable
Nan,Science immunology,29374079,notAvailable
